ID Loja,Data,count
Norte Shopping,2019-07-04,39
Shopping Recife,2019-08-20,37
Shopping Vila Velha,2019-08-19,35
Shopping Vila Velha,2019-01-27,35
Shopping SP Market,2019-11-25,31
Shopping Center Interlagos,2019-02-16,31
Shopping União de Osasco,2019-05-14,31
Center Shopping Uberlândia,2019-08-14,31
Shopping Iguatemi Fortaleza,2019-03-28,31
Shopping Barra,2019-06-26,30
Rio Mar Recife,2019-06-03,30
Palladium Shopping Curitiba,2019-09-11,30
Shopping Morumbi,2019-07-29,30
Shopping Morumbi,2019-05-29,30
Salvador Shopping,2019-07-19,29
Rio Mar Recife,2019-09-15,29
Iguatemi Campinas,2019-11-11,29
Iguatemi Campinas,2019-05-30,29
Ribeirão Shopping,2019-11-03,29
Shopping Barra,2019-05-26,29
Shopping SP Market,2019-01-24,29
Shopping SP Market,2019-10-03,28
Norte Shopping,2019-01-07,28
Ribeirão Shopping,2019-11-24,28
Ribeirão Shopping,2019-04-19,28
Novo Shopping Ribeirão Preto,2019-06-21,28
Shopping Center Interlagos,2019-07-27,28
Novo Shopping Ribeirão Preto,2019-05-21,28
Salvador Shopping,2019-06-27,28
Shopping Morumbi,2019-04-21,28
Shopping Center Leste Aricanduva,2019-07-21,28
Center Shopping Uberlândia,2019-04-04,28
Rio Mar Shopping Fortaleza,2019-03-28,28
Shopping Eldorado,2019-06-27,28
Bourbon Shopping SP,2019-05-23,27
Shopping Vila Velha,2019-04-02,27
Shopping SP Market,2019-09-02,27
Ribeirão Shopping,2019-10-31,27
Shopping Eldorado,2019-04-03,27
Norte Shopping,2019-03-25,27
Salvador Shopping,2019-05-17,27
Rio Mar Recife,2019-10-15,27
Norte Shopping,2019-05-16,27
Palladium Shopping Curitiba,2019-02-06,27
Shopping Eldorado,2019-10-19,27
Bourbon Shopping SP,2019-11-17,27
Novo Shopping Ribeirão Preto,2019-08-01,27
Shopping Barra,2019-08-28,26
Shopping Barra,2019-04-03,26
Rio Mar Shopping Fortaleza,2019-03-03,26
Rio Mar Recife,2019-03-15,26
Novo Shopping Ribeirão Preto,2019-04-20,26
Novo Shopping Ribeirão Preto,2019-01-31,26
Norte Shopping,2019-01-19,26
Norte Shopping,2019-05-25,26
Rio Mar Recife,2019-09-29,26
Iguatemi Esplanada,2019-07-12,26
Shopping Vila Velha,2019-10-02,26
Shopping Vila Velha,2019-09-02,26
Iguatemi Campinas,2019-11-16,26
Shopping Vila Velha,2019-07-10,26
Rio Mar Shopping Fortaleza,2019-04-11,26
Shopping Iguatemi Fortaleza,2019-08-19,26
Shopping Ibirapuera,2019-08-07,26
Parque Dom Pedro Shopping,2019-05-24,26
Parque Dom Pedro Shopping,2019-09-19,26
Rio Mar Shopping Fortaleza,2019-05-09,26
Shopping Morumbi,2019-01-30,26
Center Shopping Uberlândia,2019-03-24,25
Norte Shopping,2019-02-05,25
Rio Mar Recife,2019-10-24,25
Iguatemi Esplanada,2019-11-18,25
Iguatemi Esplanada,2019-08-13,25
Shopping Vila Velha,2019-10-17,25
Shopping SP Market,2019-05-28,25
Rio Mar Shopping Fortaleza,2019-02-24,25
Shopping Ibirapuera,2019-04-10,25
Parque Dom Pedro Shopping,2019-07-14,25
Shopping Center Leste Aricanduva,2019-07-09,25
Palladium Shopping Curitiba,2019-04-26,25
Center Shopping Uberlândia,2019-10-11,25
Bourbon Shopping SP,2019-02-15,25
Shopping SP Market,2019-10-06,25
Iguatemi Campinas,2019-03-03,25
Shopping Vila Velha,2019-04-19,25
Shopping Vila Velha,2019-05-06,25
Shopping União de Osasco,2019-06-11,25
Shopping Ibirapuera,2019-03-06,25
Shopping Ibirapuera,2019-08-14,25
Salvador Shopping,2019-01-06,25
Palladium Shopping Curitiba,2019-02-19,25
Ribeirão Shopping,2019-02-03,25
Passei das Águas Shopping,2019-09-17,25
Center Shopping Uberlândia,2019-07-23,25
Bourbon Shopping SP,2019-11-04,25
Novo Shopping Ribeirão Preto,2019-10-18,25
Novo Shopping Ribeirão Preto,2019-08-20,25
Passei das Águas Shopping,2019-02-01,25
Shopping Center Leste Aricanduva,2019-03-02,25
Shopping Barra,2019-09-19,25
Shopping Center Interlagos,2019-06-01,25
Shopping Barra,2019-05-10,25
Shopping Morumbi,2019-06-24,25
Norte Shopping,2019-10-20,25
Novo Shopping Ribeirão Preto,2019-03-08,25
Shopping Ibirapuera,2019-03-11,24
Palladium Shopping Curitiba,2019-08-16,24
Iguatemi Campinas,2019-11-03,24
Bourbon Shopping SP,2019-01-18,24
Iguatemi Campinas,2019-03-18,24
Iguatemi Campinas,2019-09-26,24
Norte Shopping,2019-08-25,24
Shopping Vila Velha,2019-04-12,24
Rio Mar Shopping Fortaleza,2019-10-18,24
Palladium Shopping Curitiba,2019-11-16,24
Iguatemi Campinas,2019-11-28,24
Rio Mar Shopping Fortaleza,2019-05-03,24
Parque Dom Pedro Shopping,2019-02-24,24
Palladium Shopping Curitiba,2019-01-11,24
Bourbon Shopping SP,2019-08-24,24
Shopping Ibirapuera,2019-03-08,24
Palladium Shopping Curitiba,2019-02-11,24
Rio Mar Shopping Fortaleza,2019-01-17,24
Shopping Center Interlagos,2019-03-15,24
Shopping Center Interlagos,2019-09-03,24
Shopping União de Osasco,2019-03-07,24
Shopping SP Market,2019-08-02,24
Iguatemi Campinas,2019-08-17,24
Iguatemi Campinas,2019-09-05,24
Salvador Shopping,2019-04-24,24
Shopping SP Market,2019-11-26,24
Rio Mar Recife,2019-06-14,24
Norte Shopping,2019-06-16,24
Bourbon Shopping SP,2019-03-25,24
Center Shopping Uberlândia,2019-11-30,24
Salvador Shopping,2019-10-15,24
Center Shopping Uberlândia,2019-06-11,24
Shopping União de Osasco,2019-02-23,24
Rio Mar Recife,2019-07-22,24
Shopping Ibirapuera,2019-11-07,24
Shopping Eldorado,2019-05-20,24
Shopping Center Interlagos,2019-08-19,24
Shopping Center Interlagos,2019-05-26,24
Bourbon Shopping SP,2019-11-15,24
Ribeirão Shopping,2019-08-04,24
Shopping Center Interlagos,2019-05-06,24
Novo Shopping Ribeirão Preto,2019-01-28,24
Shopping Eldorado,2019-09-20,24
Shopping SP Market,2019-09-18,23
Ribeirão Shopping,2019-09-18,23
Rio Mar Shopping Fortaleza,2019-06-30,23
Norte Shopping,2019-03-10,23
Rio Mar Shopping Fortaleza,2019-09-24,23
Norte Shopping,2019-04-21,23
Salvador Shopping,2019-06-18,23
Iguatemi Campinas,2019-04-20,23
Iguatemi Campinas,2019-11-06,23
Shopping SP Market,2019-02-08,23
Salvador Shopping,2019-02-17,23
Center Shopping Uberlândia,2019-05-24,23
Salvador Shopping,2019-10-12,23
Bourbon Shopping SP,2019-03-26,23
Shopping Vila Velha,2019-07-31,23
Salvador Shopping,2019-04-10,23
Shopping Vila Velha,2019-09-24,23
Shopping União de Osasco,2019-02-05,23
Norte Shopping,2019-08-07,23
Norte Shopping,2019-10-11,23
Ribeirão Shopping,2019-06-15,23
Novo Shopping Ribeirão Preto,2019-01-18,23
Norte Shopping,2019-11-17,23
Passei das Águas Shopping,2019-09-11,23
Shopping Center Leste Aricanduva,2019-08-28,23
Shopping Center Interlagos,2019-08-24,23
Shopping Center Leste Aricanduva,2019-05-19,23
Shopping Morumbi,2019-02-13,23
Shopping Midway Mall,2019-09-11,23
Ribeirão Shopping,2019-01-20,23
Ribeirão Shopping,2019-01-03,23
Passei das Águas Shopping,2019-09-30,23
Shopping Center Interlagos,2019-06-17,23
Shopping Center Interlagos,2019-03-01,23
Shopping Midway Mall,2019-07-07,23
Shopping Recife,2019-01-20,23
Shopping Barra,2019-06-08,23
Shopping Barra,2019-05-15,23
Center Shopping Uberlândia,2019-11-24,23
Shopping Ibirapuera,2019-08-26,23
Palladium Shopping Curitiba,2019-02-26,23
Shopping Center Leste Aricanduva,2019-11-08,23
Shopping Center Leste Aricanduva,2019-11-19,23
Shopping Eldorado,2019-05-11,23
Novo Shopping Ribeirão Preto,2019-11-29,23
Bourbon Shopping SP,2019-11-18,23
Parque Dom Pedro Shopping,2019-05-29,23
Shopping Iguatemi Fortaleza,2019-08-08,23
Shopping Midway Mall,2019-03-13,23
Palladium Shopping Curitiba,2019-08-17,23
Shopping Ibirapuera,2019-03-09,23
Shopping Ibirapuera,2019-05-06,23
Shopping Ibirapuera,2019-06-26,23
Shopping União de Osasco,2019-08-20,23
Rio Mar Shopping Fortaleza,2019-03-04,23
Iguatemi Esplanada,2019-01-14,22
Rio Mar Shopping Fortaleza,2019-05-07,22
Shopping União de Osasco,2019-06-02,22
Iguatemi Esplanada,2019-05-10,22
Shopping Ibirapuera,2019-08-19,22
Palladium Shopping Curitiba,2019-04-29,22
Palladium Shopping Curitiba,2019-03-26,22
Shopping Eldorado,2019-06-08,22
Parque Dom Pedro Shopping,2019-02-16,22
Parque Dom Pedro Shopping,2019-03-17,22
Palladium Shopping Curitiba,2019-10-14,22
Palladium Shopping Curitiba,2019-10-06,22
Palladium Shopping Curitiba,2019-07-23,22
Palladium Shopping Curitiba,2019-05-13,22
Shopping Iguatemi Fortaleza,2019-08-23,22
Shopping Ibirapuera,2019-06-10,22
Shopping Eldorado,2019-11-04,22
Shopping Ibirapuera,2019-06-25,22
Shopping Center Interlagos,2019-10-04,22
Parque Dom Pedro Shopping,2019-06-28,22
Shopping Center Leste Aricanduva,2019-02-19,22
Shopping Center Leste Aricanduva,2019-01-29,22
Passei das Águas Shopping,2019-03-09,22
Passei das Águas Shopping,2019-03-11,22
Shopping Center Leste Aricanduva,2019-09-11,22
Passei das Águas Shopping,2019-02-22,22
Novo Shopping Ribeirão Preto,2019-11-18,22
Shopping Iguatemi Fortaleza,2019-05-13,22
Shopping Midway Mall,2019-02-15,22
Shopping Midway Mall,2019-05-10,22
Parque Dom Pedro Shopping,2019-06-29,22
Shopping Morumbi,2019-02-03,22
Shopping Ibirapuera,2019-11-10,22
Shopping Ibirapuera,2019-11-16,22
Parque Dom Pedro Shopping,2019-01-23,22
Center Shopping Uberlândia,2019-08-19,22
Parque Dom Pedro Shopping,2019-10-16,22
Shopping Center Leste Aricanduva,2019-06-19,22
Bourbon Shopping SP,2019-04-05,22
Shopping União de Osasco,2019-01-19,22
Shopping Vila Velha,2019-02-07,22
Shopping Vila Velha,2019-02-12,22
Shopping SP Market,2019-07-18,22
Salvador Shopping,2019-06-14,22
Salvador Shopping,2019-03-14,22
Norte Shopping,2019-06-21,22
Rio Mar Recife,2019-08-15,22
Rio Mar Recife,2019-11-29,22
Rio Mar Shopping Fortaleza,2019-01-08,22
Salvador Shopping,2019-09-20,22
Norte Shopping,2019-11-05,22
Ribeirão Shopping,2019-04-03,22
Ribeirão Shopping,2019-03-13,22
Center Shopping Uberlândia,2019-02-25,22
Shopping Recife,2019-05-17,22
Rio Mar Recife,2019-02-12,22
Shopping Recife,2019-08-25,22
Novo Shopping Ribeirão Preto,2019-04-27,22
Ribeirão Shopping,2019-04-24,22
Bourbon Shopping SP,2019-06-05,22
Shopping Barra,2019-06-07,22
Shopping Morumbi,2019-09-25,22
Shopping Center Interlagos,2019-05-09,22
Center Shopping Uberlândia,2019-10-17,22
Shopping Center Interlagos,2019-05-25,22
Shopping Center Interlagos,2019-05-11,22
Shopping Morumbi,2019-06-19,22
Shopping Morumbi,2019-06-12,22
Shopping Center Interlagos,2019-02-13,22
Passei das Águas Shopping,2019-11-12,22
Shopping Midway Mall,2019-07-18,22
Shopping Morumbi,2019-10-19,22
Shopping Morumbi,2019-11-02,22
Shopping Morumbi,2019-11-13,22
Shopping Center Leste Aricanduva,2019-03-27,22
Ribeirão Shopping,2019-02-26,22
Passei das Águas Shopping,2019-10-05,22
Center Shopping Uberlândia,2019-10-24,22
Novo Shopping Ribeirão Preto,2019-07-19,22
Novo Shopping Ribeirão Preto,2019-07-02,22
Bourbon Shopping SP,2019-06-13,22
Bourbon Shopping SP,2019-10-30,22
Shopping SP Market,2019-05-21,22
Rio Mar Recife,2019-03-23,22
Rio Mar Recife,2019-05-08,22
Rio Mar Recife,2019-04-15,22
Shopping União de Osasco,2019-03-16,22
Center Shopping Uberlândia,2019-04-12,22
Norte Shopping,2019-01-26,22
Norte Shopping,2019-01-31,22
Shopping Morumbi,2019-02-09,21
Parque Dom Pedro Shopping,2019-09-06,21
Passei das Águas Shopping,2019-01-27,21
Parque Dom Pedro Shopping,2019-10-29,21
Shopping Center Leste Aricanduva,2019-09-23,21
Passei das Águas Shopping,2019-07-25,21
Passei das Águas Shopping,2019-06-15,21
Shopping Iguatemi Fortaleza,2019-08-27,21
Shopping Center Interlagos,2019-07-20,21
Shopping Center Interlagos,2019-08-30,21
